PIO_CAPTURING...
PIO_CAPTURE_DONE count=32768 sample_hz=33250000.0
BEGIN_PIO_CAPTURE
sample_hz=33250000.0
idx,delta_ns,p6,fd7,fd6,fd5,fd4,fd3,fd2,fd1,fd0,reb,p16,p17,p18,p19,rst-,p21,p22
294,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
295,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
296,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
297,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
298,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
299,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
300,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
301,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
302,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
303,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
304,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
305,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
306,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
307,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
308,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
309,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
310,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
311,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
312,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
313,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
314,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
315,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
316,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
317,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
318,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
319,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
320,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
321,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
322,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
323,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
324,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
325,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
326,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
327,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
328,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
329,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
330,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
331,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
332,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
